KASE_BMC 2013-01-03 - 2026-01-29;;;;
Дата;KASE_BMC;;;
09.10.20;101,1278;;;
12.10.20;101,2093;;;
13.10.20;101,1726;;;
14.10.20;101,1891;;;
15.10.20;101,2084;;;
16.10.20;100,9662;;;
19.10.20;101,06;;;
20.10.20;101,0883;;;
21.10.20;101,0907;;;
22.10.20;101,3577;;;
23.10.20;101,1697;;;
26.10.20;101,1422;;;
27.10.20;101,1054;;;
28.10.20;101,0772;;;
29.10.20;101,1205;;;
30.10.20;101,1311;;;
02.11.20;101,2609;;;
03.11.20;101,4182;;;
04.11.20;101,2434;;;
05.11.20;101,3823;;;
06.11.20;101,1336;;;
09.11.20;101,1723;;;
10.11.20;101,172;;;
11.11.20;101,2793;;;
12.11.20;101,2225;;;
13.11.20;101,2238;;;
16.11.20;101,5326;;;
17.11.20;101,4462;;;
18.11.20;101,2361;;;
19.11.20;101,1487;;;
20.11.20;101,1618;;;
23.11.20;101,2097;;;
24.11.20;101,1297;;;
25.11.20;101,1671;;;
26.11.20;101,1612;;;
27.11.20;101,1243;;;
30.11.20;101,0803;;;
02.12.20;101,5064;;;
03.12.20;101,2265;;;
04.12.20;101,7815;;;
07.12.20;101,7117;;;
08.12.20;101,6465;;;
09.12.20;101,7731;;;
10.12.20;101,5595;;;
11.12.20;101,8721;;;
14.12.20;101,7497;;;
15.12.20;101,7184;;;
20.12.20;101,5731;;;
21.12.20;101,5679;;;
22.12.20;101,5493;;;
23.12.20;101,5702;;;
24.12.20;101,5276;;;
25.12.20;101,5287;;;
28.12.20;101,7522;;;
29.12.20;101,4578;;;
30.12.20;101,5153;;;
31.12.20;101,3827;;;
05.01.21;101,4063;;;
06.01.21;101,5653;;;
08.01.21;101,291;;;
11.01.21;101,4362;;;
12.01.21;101,6267;;;
13.01.21;101,5412;;;
14.01.21;101,3578;;;
15.01.21;101,3936;;;
18.01.21;101,4453;;;
19.01.21;101,3996;;;
20.01.21;101,6892;;;
21.01.21;101,6137;;;
22.01.21;101,5156;;;
25.01.21;101,8457;;;
26.01.21;102,6038;;;
27.01.21;101,8888;;;
28.01.21;101,5977;;;
29.01.21;101,4617;;;
01.02.21;101,9481;;;
02.02.21;101,8402;;;
03.02.21;101,6427;;;
04.02.21;101,5144;;;
05.02.21;101,8901;;;
08.02.21;101,8806;;;
09.02.21;101,9485;;;
10.02.21;101,9015;;;
11.02.21;101,4296;;;
12.02.21;101,747;;;
15.02.21;101,6715;;;
16.02.21;101,7054;;;
17.02.21;101,7262;;;
18.02.21;101,9251;;;
19.02.21;102,013;;;
